"key","value"
"mtb_low_p","0.491"
"mtb_low_p_txt","= 0.491"
"mtb_low_se","0.033"
"mtb_mde","0.067"
"mtb_mde_pct","7.0"
"mtb_mde_pp","6.7"
"mtb_nco","2,412"
"mtb_ntr","628"
"mtb_p","0.936"
"mtb_p_txt","= 0.936"
"mtb_pholm","0.936"
"mtb_pholm_txt","= 0.936"
"mtb_pre_p","0.074"
"mtb_pre_p_txt","= 0.074"
"mtb_pre_wald","8.54"
"mtb_R1","−0.001"
"mtb_R1_hi","0.046"
"mtb_R1_lo","−0.048"
"mtb_R1_p","0.973"
"mtb_R1_p_txt","= 0.973"
"mtb_R1_pct","−0.1"
"mtb_R1_se","0.024"
"mtb_R2","0.025"
"mtb_R2_hi","0.066"
"mtb_R2_lo","−0.018"
"mtb_R2_p","0.250"
"mtb_R2_p_txt","= 0.250"
"mtb_R2_pct","2.5"
"mtb_R2_se","0.022"
"mtb_R3","0.031"
"mtb_R3_hi","0.082"
"mtb_R3_lo","−0.024"
"mtb_R3_p","0.263"
"mtb_R3_p_txt","= 0.263"
"mtb_R3_pct","3.1"
"mtb_R3_se","0.027"
"mtb_R4","0.016"
"mtb_R4_hi","0.063"
"mtb_R4_lo","−0.033"
"mtb_R4_p","0.515"
"mtb_R4_p_txt","= 0.515"
"mtb_R4_pct","1.7"
"mtb_R4_se","0.025"
"mtb_R5","0.059"
"mtb_R5_hi","0.105"
"mtb_R5_lo","0.015"
"mtb_R5_p","0.010"
"mtb_R5_p_txt","= 0.010"
"mtb_R5_pct","6.1"
"mtb_R5_se","0.023"
"mtb_R6","0.064"
"mtb_R6_p","0.014"
"mtb_R6_p_txt","= 0.014"
"mtb_R6_pct","6.6"
"mtb_R6_se","0.026"
"mtb_R7","−0.052"
"mtb_R7_hi","0.014"
"mtb_R7_hi_pct","1.4"
"mtb_R7_lo","−0.118"
"mtb_R7_lo_pct","−11.2"
"mtb_R7_ntr","628"
"mtb_R7_p","0.126"
"mtb_R7_p_txt","= 0.126"
"mtb_R7_pct","−5.0"
"mtb_R7_se","0.034"
"mtb_R7_slope","0.024"
"mtb_R8","0.028"
"mtb_R8_hi","0.077"
"mtb_R8_hi_pct","8.0"
"mtb_R8_lo","−0.021"
"mtb_R8_lo_pct","−2.1"
"mtb_R8_ntr","567"
"mtb_R8_p","0.265"
"mtb_R8_p_txt","= 0.265"
"mtb_R8_pct","2.9"
"mtb_R8_se","0.025"
"mtb_R9","−0.003"
"mtb_R9_hi","0.069"
"mtb_R9_hi_pct","7.1"
"mtb_R9_lo","−0.072"
"mtb_R9_lo_pct","−6.9"
"mtb_R9_ntr","256"
"mtb_R9_p","0.940"
"mtb_R9_p_txt","= 0.940"
"mtb_R9_pct","−0.3"
"mtb_R9_se","0.035"
"mtb_runup_m2","3.0"
"mtb_runup_m3","3.7"
"mtb_runup_m4","8.5"
"mtb_runup_m5","10.0"
"mtb_se","0.024"
"n_coh_2020_2023","577"
"n_coh_max_year","2024"
"n_coh_min_year","2015"
"n_cov_gap","17"
"n_cov2014","135"
"n_est_firms","3,288"
"n_est_fy","36,168"
"n_my_2021_2022","289"
"n_never","2,613"
"n_nonfin_firms","3,423"
"n_th_sg_2019_2020","108"
"n_treated_all","675"
"n_universe_firms","3,709"
"n_universe_fy","40,799"
"pct_coh_2020_2023","85.5"
"SEED","20260925"
"t1_asset_nd","0.61"
"t1_asset_nv_mean","238.0"
"t1_asset_nv_med","68.7"
"t1_asset_ratio_med","4.3"
"t1_asset_tr_mean","882.1"
"t1_asset_tr_med","294.3"
"t1_lev_nd","−0.04"
"t1_lev_nv_mean","0.241"
"t1_lev_nv_med","0.205"
"t1_lev_tr_mean","0.235"
"t1_lev_tr_med","0.217"
"t1_mcap_nd","0.69"
"t1_mcap_nv_mean","157.3"
"t1_mcap_nv_med","42.2"
"t1_mcap_ratio_med","4.8"
"t1_mcap_tr_mean","762.5"
"t1_mcap_tr_med","203.2"
"t1_mtb_nd","0.17"
"t1_mtb_nv_mean","1.84"
"t1_mtb_nv_med","0.95"
"t1_mtb_tr_mean","2.37"
"t1_mtb_tr_med","1.26"
"t1_roa_nd","0.21"
"t1_roa_nv_mean","0.045"
"t1_roa_nv_med","0.046"
"t1_roa_tr_mean","0.064"
"t1_roa_tr_med","0.057"
