firm_id,year,country,company,industry_code,ESG_Score,ESGC_Score,board_size,board_ind,female_board,sus_comp,pe_comp,marketcap,roa,debt,asset,mtb,gri,co,greenwashing,female_critical_mass,log_co2,leverage,firm_size,roa_raw,leverage_raw,mtb_raw
264,2021,MY,British American Tobacco (Malaysia) Bhd,consumer_staples,82.5836823730415,100.0,7.0,50.0,28.5714285714286,0.0,0.0,958623775.216138,0.22469,190901056.676273,334305475.504323,10.4352413717381,1.0,2002.0,-17.4163176269585,0.0,7.601901959875166,0.5710377803064264,19.62756573027002,0.22469,0.5710377803064264,10.4352413717381
264,2022,MY,British American Tobacco (Malaysia) Bhd,consumer_staples,81.8787632319421,100.0,7.0,57.1428571428571,28.5714285714286,0.0,0.0,728101500.0,0.0454,165627727.272727,308913863.636364,8.49467194858089,1.0,1825.0,-18.1212367680579,0.0,7.509335266016592,0.536161521930575,19.54857303754329,0.0454,0.536161521930575,8.49467194858089
264,2023,MY,British American Tobacco (Malaysia) Bhd,consumer_staples,82.2321706893743,100.0,7.0,57.1428571428571,28.5714285714286,0.0,0.0,577902766.884532,0.15349,128903050.108932,256823093.681917,7.02558725920982,1.0,1372.0,-17.7678293106257,0.0,7.22402480828583,0.5019137814319076,19.36389805440464,0.15349,0.5019137814319076,7.02558725920982
264,2024,MY,British American Tobacco (Malaysia) Bhd,consumer_staples,80.1921248097595,100.0,7.0,50.0,28.5714285714286,0.0,0.0,476735407.341092,0.15419,133342211.280215,267752014.324082,5.49072091602503,1.0,848.0,-19.80787519024049,0.0,6.742880635791903,0.4980063795853282,19.40557179041634,0.15419,0.4980063795853282,5.49072091602503
265,2020,TH,Bangchak Corporation PCL,energy,74.0840060297713,100.0,16.0,52.9411764705882,6.25,0.0,0.0,947381998.470274,-0.0304,2368241295.23968,4937503060.35286,0.767964006254502,1.0,1174801.67,-25.9159939702287,0.0,13.97660989982415,0.4796435093389962,22.32012558699176,-0.0304,0.4796435093389962,0.767964006254502
265,2021,TH,Bangchak Corporation PCL,energy,69.9152391160527,100.0,16.0,56.25,6.25,0.0,0.0,1042810729.28164,0.04679000000000001,2686208557.29762,6072383546.31357,0.787743346836837,1.0,905187.229,-30.0847608839473,0.0,13.71589708415768,0.4423647710672635,22.52701704143375,0.04679000000000001,0.4423647710672635,0.787743346836837
265,2022,TH,Bangchak Corporation PCL,energy,83.2107760688306,100.0,15.0,47.6190476190476,13.3333333333333,1.0,0.0,1253195014.31667,0.0816,2687697246.40277,7002148114.09997,0.816662348850392,1.0,840251.4,-16.7892239311694,0.0,13.64145641175675,0.3838389595031063,22.66948281236855,0.0816,0.3838389595031063,0.816662348850392
265,2023,TH,Bangchak Corporation PCL,energy,80.3806442123453,100.0,16.0,66.6666666666667,12.5,1.0,0.0,1748282467.29422,0.04541000000000001,4089757807.30713,9910591336.65211,0.963411299305384,1.0,945665.57,-19.6193557876547,0.0,13.75964426544649,0.412665366614611,23.01686985420961,0.04541000000000001,0.412665366614611,0.963411299305384
265,2024,TH,Bangchak Corporation PCL,energy,82.1706540728898,51.219512195122,15.0,61.9047619047619,20.0,1.0,0.0,1451089978.10304,0.0266,4047738361.2376,9239397562.93053,0.829686703377274,1.0,960241.72,30.9511418777678,0.0,13.77494032341648,0.4380954855192688,22.94674252165743,0.0266,0.4380954855192688,0.829686703377274
266,2023,TH,BEC World PCL,communication_services,61.6043274723488,100.0,13.0,38.4615384615385,38.4615384615385,1.0,1.0,284880326.911851,0.022,66802714.4687045,274851770.684134,1.58788994044903,1.0,2779.0,-38.3956725276512,1.0,7.929846429742503,0.2430499694523552,19.43174249461561,0.022,0.2430499694523552,1.58788994044903
